159;1211;10;11
57;6434;7;4
103;12098;11;2
124;8778;6;3
170;8983;9;1
70;9358;6;2
143;2129;4;6
189;14548;0;1
73;8077;4;1
72;11172;0;6
69;320;11;7
161;4113;4;6
128;13484;8;12
137;5689;7;8
53;13036;12;6
176;312;8;9
191;12083;7;5
181;16163;6;0
177;10376;4;10
107;13224;1;7
65;1590;0;1
84;10737;1;0
189;3437;7;8
123;1241;4;6
167;2351;9;5
147;11956;6;1
129;8342;10;2
74;2828;6;10
171;7932;8;0
197;15019;10;3
59;6003;0;10
175;7215;2;11
136;6958;12;1
144;13604;8;12
112;11798;4;5
129;5023;0;9
200;12752;1;7
90;16986;2;11
139;3591;12;0
88;10055;6;4
54;1596;3;0
188;14562;7;4
151;9145;10;11
74;12400;3;8
75;5241;10;8
114;8706;10;5
91;4028;3;8
111;3876;8;4
56;15879;10;5
75;10455;6;7
187;8212;3;10
56;8774;7;4
74;2405;6;12
190;12329;6;1
50;755;7;8
86;11001;7;11
138;10145;10;9
164;1000;0;10
62;7523;5;1
69;6841;7;2
134;4249;11;10
97;2461;12;0
101;4807;2;3
123;2408;5;7
112;15562;12;9
112;11685;11;8
169;2183;3;10
69;8644;8;11
98;8089;10;8
189;8190;1;9
109;6552;11;1
137;15016;1;5
158;4412;3;9
188;11388;10;3
55;2700;4;10
182;16198;5;6
149;363;10;5
61;5238;0;9
124;7250;9;8
115;10586;2;5
127;13265;12;11
182;11212;8;2
149;16602;5;3
187;6599;1;3
66;11457;2;0
80;2209;10;6
187;11336;1;6
144;12126;10;4
106;1187;10;7
173;7712;6;9
114;6329;9;10
150;16409;5;7
61;16042;7;12
95;5163;11;3
153;14117;8;2
133;2365;0;2
165;2428;9;2
143;5563;12;9
113;3415;4;9
136;10546;12;9
180;8017;7;2
199;9486;0;11
68;13971;1;7
63;10607;5;10
157;4640;11;5
117;300;12;5
113;3132;8;10
188;3017;3;8
61;14033;10;4
82;14731;4;6
53;15398;0;9
181;16394;5;8
140;7571;11;4
92;12298;3;2
162;15046;10;5
58;9143;9;1
136;10888;5;7
80;3116;1;3
112;11531;11;5
67;5296;0;4
144;8438;10;9
140;7502;0;10
185;3058;9;10
151;9041;6;7
99;5564;10;5
74;8876;2;12
146;3202;7;2
54;10127;9;6
200;13755;7;0
191;8436;11;5
72;5061;12;11
183;11120;6;11
131;5504;6;0
145;5658;2;1
196;15179;8;12
50;8686;5;9
70;2978;6;10
52;6754;12;2
195;8656;2;1
81;10106;3;6
122;1700;0;8
170;8551;2;1
136;7732;11;0
160;1695;12;8
60;6049;6;9
67;1634;8;0
144;16358;5;0
60;11477;10;6
199;12088;3;0
137;4584;10;6
63;6246;5;4
141;15833;5;8
127;5769;3;12
169;5698;0;1
193;9977;9;6
54;16464;12;5
85;8378;6;0
118;10437;8;3
130;6423;11;4
148;7632;2;11
84;3932;8;7
150;429;9;1
158;811;5;7
97;1441;12;7
123;7154;5;1
140;7146;0;4
91;16791;4;5
90;10542;9;3
57;4045;3;12
184;10609;7;4
77;13768;6;2
159;13935;6;0
163;15381;12;10
195;2181;4;5
185;8743;12;8
94;11337;12;10
163;6326;1;9
67;10090;6;4
116;413;10;7
125;13025;8;0
176;4644;11;7
149;6529;5;2
110;12846;11;2
119;13231;1;12
132;9681;9;7
100;10526;6;0
140;4565;6;4
80;13058;11;2
114;7481;4;2
78;3705;6;2
87;2461;4;0
187;10411;0;11
120;10497;11;9
94;4866;7;6
185;10574;5;11
182;7899;8;10
143;14927;5;7
137;7372;6;9
60;2520;0;9
83;12120;5;9
143;15117;4;9
176;10375;11;1
200;14405;12;5
148;12277;8;9
97;1663;6;5
185;447;9;11
58;8116;2;10
131;14083;5;3
109;4253;3;7
153;4931;11;7
111;3857;12;9
166;980;3;2
168;13264;4;1
136;13075;3;1
63;2252;2;12
182;2521;3;11
110;11891;6;11
71;7018;10;5
79;7212;7;0
58;1577;9;2
106;4443;2;4
164;16564;9;8
123;13559;8;11
178;15606;7;0
177;16368;6;7
189;16471;12;0
92;2263;11;10
174;11205;9;12
85;199;11;4
189;3625;12;0
84;3353;7;3
194;2763;4;6
83;5176;8;10
138;12326;9;11
51;10634;8;0
162;4140;6;2
136;493;10;12
151;5;11;10
134;10948;11;6
136;12170;3;10
103;15272;0;8
103;10891;6;1
147;15331;12;2
108;16516;6;9
85;12608;4;2
58;10298;7;12
125;10286;4;5
179;10898;12;10
76;3096;6;10
151;12327;7;1
63;11191;2;10
84;12920;11;12
58;4876;6;3
158;11275;9;6
125;8329;0;4
90;3521;9;7
160;13011;7;9
109;10307;9;5
80;3820;9;8
71;45;4;3
64;16522;8;4
113;14363;1;4
118;164;4;5
89;14333;5;1
83;6129;0;2
103;7247;12;10
67;8665;1;3
95;14260;9;6
136;13139;8;0
63;1794;4;2
175;11543;2;10
68;11159;4;10
89;8632;11;9
185;3227;7;4
165;8471;8;12
188;5623;2;5
55;7192;2;6
74;9773;7;5
161;8404;3;8
94;7888;4;10
129;14101;12;1
73;8582;2;9
73;12826;5;3
112;6193;1;0
77;9907;8;10
87;10406;4;2
93;16648;3;5
82;618;9;3
93;13639;11;4
77;5821;7;2
