148;10297;8;9
57;14648;12;6
100;1676;1;4
59;8853;0;7
54;12810;10;7
196;8276;5;10
180;7342;1;10
166;10361;0;12
130;13535;3;9
156;11264;5;8
128;4112;12;8
185;850;3;6
89;6698;5;10
117;11102;6;5
151;16742;5;8
67;12241;6;3
103;10958;12;4
126;13702;10;3
104;12242;5;6
130;10862;6;5
193;9018;0;1
69;15313;1;12
110;15966;3;6
128;8530;2;0
79;2846;5;1
68;3882;10;11
87;14432;4;10
65;342;1;3
84;4718;12;7
167;9592;0;1
198;12690;12;8
197;141;12;5
97;4609;12;4
172;6817;11;3
126;12189;6;3
82;3597;8;0
57;8103;12;3
71;4720;12;0
105;6539;1;0
62;5083;0;5
192;10641;1;5
194;16305;7;3
185;1167;4;10
174;8512;2;5
101;16895;3;12
83;1142;3;2
106;1839;8;1
131;13361;8;6
170;7816;6;12
66;2493;7;2
193;9934;0;10
178;12355;11;3
58;16457;3;0
131;7908;1;12
59;10236;2;10
78;3816;6;11
160;11770;10;9
189;9603;1;12
132;7317;10;5
161;11452;1;5
174;3390;8;0
140;908;12;7
200;1507;12;10
160;7304;11;4
143;6021;4;8
146;10985;2;4
79;8392;12;2
167;13325;0;3
175;16347;8;2
110;14585;11;7
78;9469;3;4
199;3889;0;8
200;12773;3;9
164;8506;6;2
119;4653;9;2
82;12732;0;12
116;9270;9;8
81;16797;5;8
145;1253;3;9
71;10600;8;3
183;86;9;4
150;15551;1;10
166;6103;4;8
155;14364;2;11
107;15822;3;7
72;952;2;1
122;287;10;0
104;8552;2;8
101;16411;10;9
178;4778;8;4
118;9557;10;9
157;13581;3;5
87;3970;1;11
136;4747;8;2
160;7671;1;4
53;12703;11;0
57;5011;7;10
62;9191;0;10
111;546;9;11
188;2457;12;0
90;2778;2;7
